ID,Start time,Completion time,How often do you typically attend Sunday worship services?,"Beyond Sunday worship, in which PHCRC ministries or groups do you regularly participate?",Please describe what you most appreciate about PHCRC's worship services.,"What changes or additions, if any, would you suggest for our worship services to enhance your spiritual experience?",Do you feel the current blend of traditional and occasional contemporary music in our services effectively meets your spiritual needs? Please explain.,What proportion of traditional vs. contemporary music would you ideally prefer in our worship services? Consider 1 as totally traditional and 5 totally contemporary.,How would you describe the current level of member involvement in planning and participating in liturgy/worship? Consider 1 as no involvement at all and 5 as too much.,"Are there ways you would like to see more members, or new members, involved in worship leadership, music, or technology?",Which of our current discipleship programs have you or your family members found most beneficial? (max of 3),What new or expanded ministries for spiritual growth would you like to see for yourself or other age groups within the church?,"How can PHCRC better foster a sense of belonging for members, especially those who may struggle with commitment beyond Sunday mornings?","How well do you believe PHCRC is currently living out its mission statement: ""EQUIPPING DISCIPLES TO BECOME NEIGHBORS; INVITING NEIGHBORS TO BECOME DISCIPLES""? Please provide examples.","What are your thoughts on our current community outreach efforts (e.g., community nights, GEMS/Cadets, prayer walks, food pantry, Family Promise)? ",What new or expanded community outreach initiatives would you like to see PHCRC pursue?,"Do you feel our missional focus is adequately balanced between ""local and global"" efforts? Consider 1 as not balanced at all and 5 totally balanced.","In what ways do you believe PHCRC is effectively responding to ""compassion, mercy, and justice needs""? ","What additional actions, either church-based or personal, could we take to address these needs in our community and beyond?","From your perspective, what are PHCRC's greatest strengths or gifts as a church today? ","Thinking about PHCRC's challenges with welcoming new members, bridging age gaps, and embracing diverse families and backgrounds, which of the following best reflects your perception?","Which of the cultural challenges listed below do you feel are most pressing for PHCRC, and how can a new pastor help us navigate them?","What does being ""Christians of Reformed accent"" mean to you personally, and how do you see this reflected in our church life?",What is your perspective on PHCRC's relationship with the Christian Reformed denomination today?,"What are the most important goals or opportunities you envision for PHCRC in the next 3-5 years? (Consider the stated goals: expanding kids/youth, expanding diversity, growing community outreach).","Beyond the general responsibilities of a Minister of Worship and Leadership, what specific gifts, skills, or personal characteristics are most important to you in our next pastor? (Consider how th...",How do you prefer to see leadership shared between lay leaders and pastoral staff in our church?,"If you could identify one or two top priorities for our new pastor to focus on in their first year, what would they be? (e.g., fostering belonging, enhancing diversity, strengthening youth program..."
1,10/24/25 20:26:41,10/24/25 22:28:48,Weekly,"Small Groups: Equip Group, Oasis Group;Mobile Food Pantry;Strings 'n Things;Community Nights;Dwell, Gems, Cadets, or other youth programs;",That our worship is authentic and participation comes from people with varied abilities and backgrounds and age groups.,"Add special music such as choirs, solos, duets, hymn singing, gospel music with instrumental variations etc.  ",We need to learn more contemporary Christian music. Also joyful music including children’s voices and hand instruments.  ,3,2,"Yes, but not sure how. Singing with more energy and enthusiasm and passion. Worship should be our happy place more often than not.",Choristers;Small Groups;Mobile Food Pantry;,Pastor led bible studies for adults ,"Return to community hospitality with pancake breakfasts and potluck suppers , Planned holiday meals together for those without family around. Table Game nights just for fun and friendship! ",We can do better ,Community nights year round? Not just in the summer. It can be varied. Family Movie nights again in pajamas. Paint and sip nights for budding artists of all ages.  Volleyball!  Puzzlers with ongoing puzzles in the library??  Cooperative ways to play together and laugh and learn. Birding in the neighborhood! God sightings…learn how to share the ways God has connected you to him. Share our experiences and struggles in communicating the gospel message with neighbors and acquaintances.,"Unless our numbers grow, we won’t have the people power to expand.  I love how our instrumental music ministry has grown with concerts.  Plan informal music jam sessions on a regular basis?  A daycare ministry for the neighborhood or help Shawnee Park church expand their daycare outreach. We have a campus full of international students at CU. Embrace the mission of IFI and encourage increased church members participation to invite these students into our American homes for fellowship.  Showing Christian hospitality with home cooked meals on the weekends with special invitation. Announced from the pulpit to inspire awareness to sign up.",3,The benevolence committee addresses a lot of compassion requests. The deacons could always use help in encouraging more members of our congregation to walk alongside families in need. ,See above ,Value for diversity;Community presence;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;",Our Protestant theology.  In the catechism and liturgy mostly ,"We’re on unstable ground when it comes to Synod leadership. Decisions that divide churches are harmful to our denomination thriving, let alone surviving. Where is the heart for God’s chosen people to grow and learn in harmony?
","Goal is to heal the wounds of division. We do this by growing community outreach. It starts with a humble, prayerful spirit. ",This person has to be a willing participant in outreach ministry.  Must have a good sense of humor and respect. Appreciate cultural diversity and be sensitive to cultural differences to promote belonging in the church community. ,I don’t know…with trust and accountability is a good start ,Strengthening youth programs and community engagement 
2,10/25/25 13:02:26,10/25/25 13:43:18,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Mentoring at Mulick;","Good sermons, good music.",Ok as is.,Good mix as is.,2,2,Ok as is.,Small Groups;,Ok as is.,Ok as is.,Good ,Very good ,None ,4,Food pantry.,Ok,Leadership;Value for diversity;Worship services;Community presence;Youth program ministries;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,Busy lives/competing priorities ;,Appreciation for doctrines. Good sermons ,Stay in if possible.,We are doing well.,All the pastors we have had in the past have been good in different ways.,"Go heavy with staff, they are the professionals.",I can not pick priorities. Just carry on. Keep the ship afloat.
3,11/14/25 21:17:37,11/14/25 22:26:02,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;",Preaching of the gospel message as the focus.,"Do not have hand shaking as part of the service. There are many ways to be cordial with the people around you, before and after the service.","Under Doug DeVries it did. I'm not sure about some of the new changes that seem to be appearing. For example the very loud music at the beginning of the service. Also, if the music gets too loud there are those very sensitive to that and would be very uncomfortable or even change churches. ",2,3,I have no particular issue with leadership,Small Groups;,Evening Service or informal hymn sing and devotional. Possibly go back to an Adult Sunday School ,"""You can lead a horse but you can't make it drink"". PH already does a lot of outreach. A church can have too many programs which also turn people away, especially if they become over involved and worn out. ",Sermons are gospel driven and PH has lots of outreach programs. Sorry if this is not specific.,"Plenty of outreach if people are not overworked. You need to leave room for those who are very involved outside of church activities, but still doing the Lord's work. I am more concerned about too many programs than too few.",None. See above answer.,5,"Fairly balanced sermons, even without a full time minister. Visitation by elders, attending memorial services, cards of encouragement, use of prayer guide (so appreciate that we have one). Financial support for many organizations.",Not sure that we are not addressing many needs. I suppose that you can always do more. Preaching the gospel should be central.,Worship services;Value for diversity;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;I think so but not sure how others feel;,Busy lives/competing priorities ;Societal expectations and pressures;,"Calvinism and World and Life View reflected mostly through sermons, prayer life, financial support and programs that reach out.",Delicate one and difficult for many.,Full time minister that is a good fit is the priority.,Knowledgable with heart for the ministry of the word and needs of the congregation., It is important that they have a good relationship and work well together.,Preaching the gospel and getting to know the congregation.
4,11/14/25 23:09:02,11/14/25 23:37:36,Weekly,"Small Groups: Equip Group, Oasis Group;Adult Book Studies: Guys Group, Ladies' Bible Study;Community Nights;","The depth of the worship including all aspects of the liturgy, ie call to worship, call to confession, assurance of pardon, etc. I also appreciate the variety of music in our services. ",Our new music director has included a variety of music which I appreciate. ,Yes,3,2,We have a worship coordinator who works diligently to plan services. There is no need to include lay involvement in the planning of worship. ,Small Groups;,More midweek church suppers,Wednesday night dinners,"Quite well.  Food pantry, a thriving mid week children’s ministry and a variety of Bible study programs. ",There are plenty of programs available for outreach. ,,4,"Friendship, food pantry, strings and things",I don’t know,Worship services;Community presence;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;",Not sure,It should be that PHCRC supports the synodical decision. ,Supporting young families and children’s ministry. ,Our church desperately needs leadership. We need someone who can lead as well as preach and work with the various staff members. ,Pastoral staff should work with lay leaders but show leadership capabilities in doing so. ,Strengthen the membership and feeling of belonging first. Foster belonging. 
5,11/15/25 7:46:56,11/15/25 8:38:04,Weekly,None of them. I only attend Sunday worship.;,"The wonderful mix of worshippers gathered on Sundays. We are young and old, our dear friendship, friends who are among us as well as little children, people of different ethnic backgrounds ...we are one body, how sweet it is! 
Pastor Stan's preaching is always good, and I love what he puts on the screen to help us concentrate and understand. His preaching challenges us as well as reassures us of God's love and care for us.
We have a good variety of music. every week and so many gifted instrumentalists to enhance our worship in music. David is doing a great job ...he is a real gift to us!

 ",Nothing comes to mind. I'm very happy with the way things are going now.,"Yes, we have a good variety of music in our services, and i'm glad we try new songs too.",3,3,No.,Get togethers for seniors.;,Nothing I can think of.,Not sure.,Don't know how to answer this one.,"I think it's doing very well, especially considering people are busy with families, work, school activities.",No suggestions.,4,"Don't know, not involved with these issues at this time.",Do not know.,Leadership;Value for diversity;Worship services;Youth program ministries;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;","This is a big question, and I don't know how to answer it.","Relationship is very good, probably better than many other CRC churches.","Expanding and growing our membership and creating enthusiasm for this wonderful. ministry at PHCRC so that we can reach more people, share our faith and joy in serving the Lord.","Someone young enough with energy and a passion to serve not just our congregation, but our community.",Don't know how to answer this.,"Hopefully, a new pasture can keep up the good programs we have going and bring his own special ideas and gifts into leading ourchurch.
"
6,11/15/25 7:52:31,11/15/25 9:05:37,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;",Mixture of music.  Use of the organ.  Bible based preaching.,Delete deacon prayer after offering. ,People have a wide variety of opinions about music.  Employing a wide variety of music gives every heart an opportunity to be touched.  ,3,3,Involvement in worship should be based on interests and skill sets ,Choristers;Friendship Group;Fellowship after church services. ;,None that come to mind. ,Doing the kind of work that Pastor Sarah does.  It brings the church to its members. ,Friendship group. Gems. Cadets. ,They are valuable programs. Especially those that coordinate with other churches. ,It’s hard to do with a small church ,4,Food pantry.  Friendship program. Benevolence. ,None we can think of,Value for diversity;Youth program ministries;Worship services;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,Busy lives/competing priorities ;,It means having commitment to historical doctrines. Doctrine is a lost cause at PH.,The relationship with the CRC has diminished to virtually nothing. ,Expanding kids and youth. They are the future of the church,"Quality, doctrinal preaching. Personable pastor ",The current sharing is suitable ,Preaching the Word
7,11/15/25 8:59:38,11/15/25 9:46:30,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;",Excellent preaching and traditional music,We like the current services,"yes, as long as we continue to have both words and music notes",3,3,,Small Groups;Bible study;,Read The Law. Sing The Doxology at a good clip,Sunday coffee and cookies is a great way to invite people to mingle. Cake once in a while is nice. Having people greet one another during the service is wonderful.,Having parking lot night for children is great,Appreciate,Mulch Park tutoring is significant.,3,We could have addressed/stsmped letters to missionaries ready for people to take and write in and send.,Listing the six missionaries and addresses on a poster or in the bulletin every now and then might encourage prayer and letters for them. Our children need to learn about missionaries. ,Worship services;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"strong preaching- great examples- Van Aragon,Admiraal, Sturing;","Strong preaching, prayer, singing, and fellowship","I think the Lord should judge people who struggle with their gender. If they love the Lord, who are we to judge. ",Strong preaching  is obviously crucial. Group gatherings are significant. Trumpets with singing is inspiring. The organ is great for singing.,A strong voice helps. Representatives should go incognito to hear more than one or two sermons before considering calling a pastor.,It all depends on the gifts of the leader and on what he or she is leading.,Provocative preaching and getting to know the people
8,11/15/25 10:11:48,11/15/25 10:16:51,Weekly,"Small Groups: Equip Group, Oasis Group;Dwell, Gems, Cadets, or other youth programs;Strings 'n Things;Community Nights;Mentoring at Mulick;",Biblical preaching and music that enhances the service.,None ,Yes. ,3,3,If they are gifted in an area they should have the opportunity to participate.,Small Groups;Bible study ;,Summer music camp for elementary children.,Personal testimony of how belonging has enriched our lives.,The training is available if the members choose to participate .,These are good starts but I don’t think many of our members are comfortable engaging with those of different backgrounds.,I think we should continue to develop and expand what we are doing.,2,There are members who are very involved and others who are comfortable with church and Bible studies. ,Inviting people to participate without coming across judgmental.,Worship services;Bible study groups.;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;",I am thankful for my upbringing in the denomination and I see it taught in our church.,I am glad we are in the denomination. ,I think we should be growing in community outreach.,Kind hearted and interested in the community.,"Since our numbers are dwindling, I think more responsibility has to be on lay leaders. We can’t afford to staff with so many paid positions.","I think we need community engagement to grow our church, but we also need fostering belonging because there are barriers that need to be bridged."
9,11/15/25 6:54:21,11/15/25 10:57:53,Weekly,Mobile Food Pantry;Community Nights;,Hearing an uplifting sermon and joyous music ,More relaxed and interactive ,Yes I like both. Occasionally maybe we could have sing along of a favorite hymn before church starts which older folks might like and acquaint youth to some old favorites. I also like music other than the organ before worship to set a worship perspective—I don’t think the organ does that for me ,3,4,Currently not bad,Mobile Food Pantry;Friendship Group;,More generational involvement with our youth ,Listen for events that would draw them back during the week and simply assign household members to support a church need,We do a good job with food pantry and friendship. Getting to know neighbors is tougher—events outside the four walls help,Above answer ,"Neighborhood sports challenges for kids in the area—pickleball courts, basketball courts outside, roller blade challenges, etc",3,Not so much ,Search for injustice and respond ,Worship services;Community presence;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;",Busy lives/competing priorities ;,While there’s a rich theological basis for a firm foundation—the spiritual aspects of the CRC are being railroaded by traditional political dogma muting the full implementation real faith living. ,See above—not terrific!,Becoming a welcoming place filled with love for each other and those around us ,Speaking to today’s concerns with a biblical base and giving spiritual perspective to every day decisions,Team effort—inspiring all leaders for eyes to see what God can and will do around us,Excited commitment to extend a really good church into something that speaks volumes of God’s love around us 
10,11/15/25 8:34:30,11/15/25 12:14:45,Seasonal,"Coffee Fellowship, Endowment Committee;",Traditional style service,"Balanced in music with traditional music and some current songs accompanied by the praise band and organ.
I love involvement of children, even if it's just the children's message","Yes, it does.  However, my hope is we land on music that attracts youth and younger families.",3,2,I like the balance now with scripture reading and prayers.,GEMS;Cadets;Mobile Food Pantry;,Anything that helps support gaining more younger families.,We live in a busy world that provides may options to use our time.  I am at a stage in my life where sound biblical preaching is most important.  I love that I can get our streaming services online.  I am always looking to see if Plymouth Heights needs additional financial resources and times where financial support is needed.,"I feel PHCRC is diverse.  I am not sure if I would classify it as a ""Neighborhood"" church.  I do believe that I food pantry is serving in a real and meaningful way the needs of those living in our neighborhood.  Community nights are also great to show the neighborhood that we are welcoming.  Our cadets and Gems programs have many kids from outside our church.","Community nights, Gems/Cadets, and food pantry should continue as believe they are great programs.  ","I can't think of one and I know the time and resources we have may limit effectiveness of these programs.  I would suggest not quantity but quality of programs.  Quality to me is defined as meeting the needs of the community we live in, and bringing in more members and families.",3,I believe PHCRC is a welcoming and friendly church and will get behind any legitimate need if asked to support it.,"As we look to our future, I want to leverage the ability to become a younger church, catering to younger families and their wants, desires, and needs. ","Value for diversity;Worship services;Food Pantry, Membership Financial Support;","We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;","I am happy we are still part of the CRC.  I favor women in church leadership, but I do not believe same sex marriages or homosexual activity should be acceptable behavior.  Those that struggle with this, we should welcome them, but until they have moved away from this behavior, should not serve in offices of elder or deacon.  I believe that PHCRC should document its beliefs more specifically and make then readily available and posted on their website. Specifically, baptism, sexuality, creation, tithing, mission, vision, Reformed Theology, Family-focus, Kingdom-minded.  We should be clear about who we are.","I am happy we are still part of the CRC.  I favor women in church leadership, but I do not believe same sex marriages or homosexual activity should be acceptable behavior.  I believe that PHCRC should document its beliefs more specifically and make then readily available and posted on their website. Specifically, baptism, sexuality, creation, tithing, mission, vision, Reformed Theology, Family-focus, Kingdom-minded.  We should be clear about who we are.","As a Christian Reformed Church in Grand Rapids, we should be intentional.  We should be talking with area churches that decided to stay in the denomination about working together, joining forces on programming, and perhaps consolidation.

Add families, commit to Christian Education, support church school, youth programs like Gems/Cadets.  Cater our worship services to add young families that support what they are looking for.  We need to continue to support older members and the elderly, but growth does not come from this demographic (other than some maybe looking from affirming CRC churches to come to PHCRC).

Continue with our Food Pantry Program....it provides a basic need for those struggling in our community.  Are there ways to enhance it by asking recipients about what else they may need support with.","Exceptional preacher and teacher of the word is the number one priority.  The lead Pastor should be able to connect the Gospel/Creeds/Catechism/Confessions to our daily lives.  As part of this, be able to use audio and visual technologies to support instruction and learning.  

Lead Pastor is 100% supportive of PHCRC position with the Christian Reformed Church.

Pastor has a warm and friendly personality that connects with a diverse group of people.",Council chair should be an elected elder.  Pastor should have support from a pastor support group that he/she can bounce ideas/concerns/concepts/personal needs as they carry out their work at PHCRC.,"1. Connecting through strong preaching
2. Supporting young families 
3. Community engagement with Food Pantry."
